--- Starting Multimodal V15 (Wide & Deep) Training on NVIDIA GeForce RTX 3070 Ti Laptop GPU ---
Feature: Merging CNN Sequence Features with 6 Explicit Biological Scalars.
Epoch 1: Loss=0.3281 | Prec=0.0091 | Rec=0.6316 | F1=0.0180 | TP=12 FN=7 [SAVED BEST]
Epoch 2: Loss=0.1856 | Prec=0.0160 | Rec=0.5789 | F1=0.0312 | TP=11 FN=8 [SAVED BEST]
Epoch 3: Loss=0.0820 | Prec=0.0438 | Rec=0.5789 | F1=0.0815 | TP=11 FN=8 [SAVED BEST]
Epoch 4: Loss=0.0691 | Prec=0.0502 | Rec=0.5789 | F1=0.0924 | TP=11 FN=8 [SAVED BEST]
Epoch 5: Loss=0.0243 | Prec=0.2564 | Rec=0.5263 | F1=0.3448 | TP=10 FN=9 [SAVED BEST]
Epoch 6: Loss=0.0249 | Prec=0.2571 | Rec=0.4737 | F1=0.3333 | TP=9 FN=10
Epoch 7: Loss=0.0248 | Prec=0.2903 | Rec=0.4737 | F1=0.3600 | TP=9 FN=10 [SAVED BEST]
Epoch 8: Loss=0.0277 | Prec=0.2727 | Rec=0.4737 | F1=0.3462 | TP=9 FN=10
Epoch 9: Loss=0.0274 | Prec=0.3750 | Rec=0.4737 | F1=0.4186 | TP=9 FN=10 [SAVED BEST]
Epoch 10: Loss=0.0270 | Prec=0.3913 | Rec=0.4737 | F1=0.4286 | TP=9 FN=10 [SAVED BEST]
Epoch 11: Loss=0.0323 | Prec=0.4091 | Rec=0.4737 | F1=0.4390 | TP=9 FN=10 [SAVED BEST]
Epoch 12: Loss=0.0348 | Prec=0.3913 | Rec=0.4737 | F1=0.4286 | TP=9 FN=10
Epoch 13: Loss=0.0347 | Prec=0.3103 | Rec=0.4737 | F1=0.3750 | TP=9 FN=10
Epoch 14: Loss=0.0346 | Prec=0.3913 | Rec=0.4737 | F1=0.4286 | TP=9 FN=10
Epoch 15: Loss=0.0364 | Prec=0.3750 | Rec=0.4737 | F1=0.4186 | TP=9 FN=10
Epoch 16: Loss=0.0416 | Prec=0.3750 | Rec=0.4737 | F1=0.4186 | TP=9 FN=10
Epoch 17: Loss=0.0378 | Prec=0.3750 | Rec=0.4737 | F1=0.4186 | TP=9 FN=10
Epoch 18: Loss=0.0434 | Prec=0.3913 | Rec=0.4737 | F1=0.4286 | TP=9 FN=10
Epoch 19: Loss=0.0426 | Prec=0.3913 | Rec=0.4737 | F1=0.4286 | TP=9 FN=10
Epoch 20: Loss=0.0512 | Prec=0.3913 | Rec=0.4737 | F1=0.4286 | TP=9 FN=10
Epoch 21: Loss=0.0514 | Prec=0.3913 | Rec=0.4737 | F1=0.4286 | TP=9 FN=10
Epoch 22: Loss=0.0494 | Prec=0.3750 | Rec=0.4737 | F1=0.4186 | TP=9 FN=10
Epoch 23: Loss=0.0551 | Prec=0.3913 | Rec=0.4737 | F1=0.4286 | TP=9 FN=10
Epoch 24: Loss=0.0586 | Prec=0.3750 | Rec=0.4737 | F1=0.4186 | TP=9 FN=10
Epoch 25: Loss=0.0590 | Prec=0.3750 | Rec=0.4737 | F1=0.4186 | TP=9 FN=10
Epoch 26: Loss=0.0608 | Prec=0.3600 | Rec=0.4737 | F1=0.4091 | TP=9 FN=10
Epoch 27: Loss=0.0657 | Prec=0.3913 | Rec=0.4737 | F1=0.4286 | TP=9 FN=10
Epoch 28: Loss=0.0610 | Prec=0.3913 | Rec=0.4737 | F1=0.4286 | TP=9 FN=10
Epoch 29: Loss=0.0628 | Prec=0.3750 | Rec=0.4737 | F1=0.4186 | TP=9 FN=10
Epoch 30: Loss=0.0666 | Prec=0.4091 | Rec=0.4737 | F1=0.4390 | TP=9 FN=10
Epoch 31: Loss=0.0647 | Prec=0.4091 | Rec=0.4737 | F1=0.4390 | TP=9 FN=10
Epoch 32: Loss=0.0615 | Prec=0.4091 | Rec=0.4737 | F1=0.4390 | TP=9 FN=10
Epoch 33: Loss=0.0730 | Prec=0.4091 | Rec=0.4737 | F1=0.4390 | TP=9 FN=10
Epoch 34: Loss=0.0672 | Prec=0.3913 | Rec=0.4737 | F1=0.4286 | TP=9 FN=10
Epoch 35: Loss=0.0665 | Prec=0.4091 | Rec=0.4737 | F1=0.4390 | TP=9 FN=10
--- Starting Multimodal V15 (Wide & Deep) Training on NVIDIA GeForce RTX 3070 Ti Laptop GPU ---
Feature: Merging CNN Sequence Features with 6 Explicit Biological Scalars.
Epoch 1: Loss=0.2695 | Prec=0.0123 | Rec=0.6316 | F1=0.0242 | TP=12 FN=7 [SAVED BEST]
Epoch 2: Loss=0.1057 | Prec=0.0417 | Rec=0.6842 | F1=0.0785 | TP=13 FN=6 [SAVED BEST]
