DeepRisdiplam Training Log - v3
Starting V3 Training (Stable). Device: cuda
Epoch 1: Val Loss=0.6756 | Val Acc=0.5802
   Saved new best model.
Epoch 2: Val Loss=0.7174 | Val Acc=0.5484
Epoch 3: Val Loss=0.8912 | Val Acc=0.5156
Epoch 4: Val Loss=2.1748 | Val Acc=0.5083
Epoch 5: Val Loss=1.6333 | Val Acc=0.5104
Epoch 6: Val Loss=0.8437 | Val Acc=0.6245
   Saved new best model.
Epoch 7: Val Loss=1.4145 | Val Acc=0.5938
Epoch 8: Val Loss=3.5681 | Val Acc=0.5000
Epoch 9: Val Loss=1.2711 | Val Acc=0.6073
Epoch 10: Val Loss=1.7203 | Val Acc=0.5792
Epoch 11: Val Loss=1.3079 | Val Acc=0.6370
   Saved new best model.
Epoch 12: Val Loss=1.1657 | Val Acc=0.6370
Epoch 13: Val Loss=2.1898 | Val Acc=0.5458
Epoch 14: Val Loss=3.6863 | Val Acc=0.5177
Epoch 15: Val Loss=2.0261 | Val Acc=0.5568
Epoch 16: Val Loss=2.4691 | Val Acc=0.6130
Epoch 17: Val Loss=5.1963 | Val Acc=0.5026
Epoch 18: Val Loss=3.1078 | Val Acc=0.5677
Epoch 19: Val Loss=3.3397 | Val Acc=0.5818
Epoch 20: Val Loss=2.4948 | Val Acc=0.7141
   Saved new best model.
Epoch 21: Val Loss=4.3004 | Val Acc=0.5000
Epoch 22: Val Loss=3.8260 | Val Acc=0.5260
Epoch 23: Val Loss=1.0222 | Val Acc=0.6667
Epoch 24: Val Loss=2.8527 | Val Acc=0.5708
Epoch 25: Val Loss=1.7324 | Val Acc=0.6667
Epoch 26: Val Loss=3.7820 | Val Acc=0.5328
Epoch 27: Val Loss=2.5634 | Val Acc=0.6083
Epoch 28: Val Loss=3.4583 | Val Acc=0.5979
Epoch 29: Val Loss=2.0464 | Val Acc=0.6651
Epoch 30: Val Loss=2.8578 | Val Acc=0.6932
Epoch 31: Val Loss=1.8056 | Val Acc=0.6781
Epoch 32: Val Loss=2.7780 | Val Acc=0.7068
Epoch 33: Val Loss=2.8748 | Val Acc=0.6917
Epoch 34: Val Loss=2.9938 | Val Acc=0.7115
Epoch 35: Val Loss=2.5074 | Val Acc=0.7010
Epoch 36: Val Loss=2.5314 | Val Acc=0.6839
Epoch 37: Val Loss=2.5252 | Val Acc=0.6672
Epoch 38: Val Loss=2.7161 | Val Acc=0.6937
Epoch 39: Val Loss=2.7569 | Val Acc=0.6932
Epoch 40: Val Loss=3.5562 | Val Acc=0.6995
Epoch 41: Val Loss=3.4568 | Val Acc=0.7005
Epoch 42: Val Loss=3.2110 | Val Acc=0.7099
Epoch 43: Val Loss=5.8146 | Val Acc=0.5099
Epoch 44: Val Loss=3.6039 | Val Acc=0.6958
Epoch 45: Val Loss=3.4498 | Val Acc=0.7109
Epoch 46: Val Loss=2.6271 | Val Acc=0.7031
Epoch 47: Val Loss=3.5276 | Val Acc=0.7104
Epoch 48: Val Loss=3.7030 | Val Acc=0.7005
Epoch 49: Val Loss=3.4392 | Val Acc=0.6911
Epoch 50: Val Loss=3.3711 | Val Acc=0.6974

Done!
